gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp1.9.jnnw eval_depth=4 play_depth=4 max_plies=200 seed=637344089 nnue=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1603 / 18750 positions
  played 100 games, 3113 / 18750 positions
  played 150 games, 4575 / 18750 positions
  played 200 games, 6149 / 18750 positions
  played 250 games, 7661 / 18750 positions
  played 300 games, 9225 / 18750 positions
  played 350 games, 10647 / 18750 positions
  played 400 games, 12202 / 18750 positions
  played 450 games, 13671 / 18750 positions
  played 500 games, 15259 / 18750 positions
  played 550 games, 16854 / 18750 positions
  played 600 games, 18427 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp1.9.jnnw
