gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp4.2.jnnw eval_depth=4 play_depth=4 max_plies=200 seed=119376314 nnue=/root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1483 / 18750 positions
  played 100 games, 3009 / 18750 positions
  played 150 games, 4504 / 18750 positions
  played 200 games, 5883 / 18750 positions
  played 250 games, 7342 / 18750 positions
  played 300 games, 8820 / 18750 positions
  played 350 games, 10361 / 18750 positions
  played 400 games, 11995 / 18750 positions
  played 450 games, 13548 / 18750 positions
  played 500 games, 15179 / 18750 positions
  played 550 games, 16605 / 18750 positions
  played 600 games, 18169 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0363-wdl-bootstrap-scan-style/artefacts.src/sp4.2.jnnw
