gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp5-14.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=9662 nnue=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1751 / 18750 positions
  played 100 games, 3370 / 18750 positions
  played 150 games, 5149 / 18750 positions
  played 200 games, 6873 / 18750 positions
  played 250 games, 8634 / 18750 positions
  played 300 games, 10299 / 18750 positions
  played 350 games, 12134 / 18750 positions
  played 400 games, 13798 / 18750 positions
  played 450 games, 15440 / 18750 positions
  played 500 games, 17163 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp5-14.jnnw
