gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp4-2.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=25127 nnue=/root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1718 / 18750 positions
  played 100 games, 3310 / 18750 positions
  played 150 games, 5030 / 18750 positions
  played 200 games, 6704 / 18750 positions
  played 250 games, 8492 / 18750 positions
  played 300 games, 10391 / 18750 positions
  played 350 games, 11990 / 18750 positions
  played 400 games, 13737 / 18750 positions
  played 450 games, 15471 / 18750 positions
  played 500 games, 17189 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0214-depth-mt30/artefacts.src/sp4-2.jnnw
