gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0232-rfe-prune24/artefacts.src/sp2-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=7245 nnue=/root/jass/jobs/results/cpx62-0232-rfe-prune24/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1623 / 18750 positions
  played 100 games, 3305 / 18750 positions
  played 150 games, 4782 / 18750 positions
  played 200 games, 6258 / 18750 positions
  played 250 games, 7775 / 18750 positions
  played 300 games, 9330 / 18750 positions
  played 350 games, 10880 / 18750 positions
  played 400 games, 12534 / 18750 positions
  played 450 games, 14199 / 18750 positions
  played 500 games, 15697 / 18750 positions
  played 550 games, 17370 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0232-rfe-prune24/artefacts.src/sp2-1.jnnw
