gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp4-8.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=12977 nnue=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1883 / 18750 positions
  played 100 games, 3538 / 18750 positions
  played 150 games, 5135 / 18750 positions
  played 200 games, 6849 / 18750 positions
  played 250 games, 8504 / 18750 positions
  played 300 games, 10222 / 18750 positions
  played 350 games, 12019 / 18750 positions
  played 400 games, 13798 / 18750 positions
  played 450 games, 15465 / 18750 positions
  played 500 games, 17101 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp4-8.jnnw
