gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0217-elo-loop-mt30/artefacts.src/sp1-7.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=10134 nnue=/root/jass/jobs/results/cpx62-0217-elo-loop-mt30/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1733 / 18750 positions
  played 100 games, 3326 / 18750 positions
  played 150 games, 5034 / 18750 positions
  played 200 games, 6734 / 18750 positions
  played 250 games, 8320 / 18750 positions
  played 300 games, 10080 / 18750 positions
  played 350 games, 11824 / 18750 positions
  played 400 games, 13417 / 18750 positions
  played 450 games, 15183 / 18750 positions
  played 500 games, 16876 / 18750 positions
  played 550 games, 18585 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0217-elo-loop-mt30/artefacts.src/sp1-7.jnnw
