gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp5-10.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=12570 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1499 / 18750 positions
  played 100 games, 3055 / 18750 positions
  played 150 games, 4646 / 18750 positions
  played 200 games, 6154 / 18750 positions
  played 250 games, 7667 / 18750 positions
  played 300 games, 9267 / 18750 positions
  played 350 games, 10779 / 18750 positions
  played 400 games, 12258 / 18750 positions
  played 450 games, 13806 / 18750 positions
  played 500 games, 15168 / 18750 positions
  played 550 games, 16775 / 18750 positions
  played 600 games, 18361 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp5-10.jnnw
