gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp2-13.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=1148 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1573 / 18750 positions
  played 100 games, 3124 / 18750 positions
  played 150 games, 4548 / 18750 positions
  played 200 games, 6127 / 18750 positions
  played 250 games, 7645 / 18750 positions
  played 300 games, 9213 / 18750 positions
  played 350 games, 10642 / 18750 positions
  played 400 games, 12240 / 18750 positions
  played 450 games, 13793 / 18750 positions
  played 500 games, 15357 / 18750 positions
  played 550 games, 16953 / 18750 positions
  played 600 games, 18393 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp2-13.jnnw
