gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp2-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=22938 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1481 / 18750 positions
  played 100 games, 3083 / 18750 positions
  played 150 games, 4571 / 18750 positions
  played 200 games, 6062 / 18750 positions
  played 250 games, 7636 / 18750 positions
  played 300 games, 9173 / 18750 positions
  played 350 games, 10782 / 18750 positions
  played 400 games, 12310 / 18750 positions
  played 450 games, 13957 / 18750 positions
  played 500 games, 15427 / 18750 positions
  played 550 games, 16930 / 18750 positions
  played 600 games, 18427 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp2-1.jnnw
