gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp0-12.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=9124 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1286 / 18750 positions
  played 100 games, 2562 / 18750 positions
  played 150 games, 3870 / 18750 positions
  played 200 games, 5079 / 18750 positions
  played 250 games, 6430 / 18750 positions
  played 300 games, 7779 / 18750 positions
  played 350 games, 9051 / 18750 positions
  played 400 games, 10362 / 18750 positions
  played 450 games, 11660 / 18750 positions
  played 500 games, 12981 / 18750 positions
  played 550 games, 14222 / 18750 positions
  played 600 games, 15538 / 18750 positions
  played 650 games, 16836 / 18750 positions
  played 700 games, 18113 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp0-12.jnnw
